Date,총거래물량,총거래금액,평균거래금액,시장
2020-01,9462928.5,9136197340,965.472510967403,서울
2020-02,8754610.0,7387886850,843.885318706373,서울
2020-03,9109415.0,6478744150,711.2140735711349,서울
2020-04,8229718.0,6756209940,820.9527884187527,서울
2020-05,7901230.0,9477792330,1199.5337852460946,서울
2020-06,7914290.5,10485254220,1324.8508151172869,서울
2020-07,8096983.1,10570971010,1305.5444082623812,서울
2020-08,7364979.3,15393054610,2090.0336556275183,서울
2020-09,8882357.0,20153143600,2268.895924809147,서울
2020-10,8084234.0,18937973340,2342.5810460211815,서울
2020-11,9074613.0,20620399360,2272.3172172741693,서울
2020-12,9257988.8,15235945860,1645.7079598108824,서울
2021-01,8241883.3,24222400650,2938.9400175078918,서울
2021-02,7644953.0,33632029700,4399.246103932882,서울
2021-03,8076544.0,35220387300,4360.824048008653,서울
2021-04,7029457.0,26378613030,3752.581889326587,서울
2021-05,8101083.4,16244390960,2005.2121621164893,서울
2021-06,7687400.4,6819742620,887.1324849945372,서울
2021-07,6454223.0,4956262050,767.9099482617814,서울
2021-08,6683397.2,7546671760,1129.1670290073437,서울
2021-09,7442639.0,9982791605,1341.2973012663922,서울
2021-10,8029655.4,9772609520,1217.064622723411,서울
2021-11,8452599.4,11589320066,1371.0953894254114,서울
2021-12,6280924.0,6900928250,1098.7122674944005,서울
2022-01,9645522.4,11354502650,1177.1786098386956,서울
2022-02,7432480.8,8506921300,1144.560144709691,서울
2022-03,9665162.9,12859394450,1330.4891581289332,서울
2022-04,8617125.1,8450791390,980.6973082008524,서울
2022-05,8227212.5,10287507140,1250.424386145368,서울
2022-06,8249497.2,11312882240,1371.3420303967132,서울
2022-07,8376382.0,12935372840,1544.2673029954938,서울
2022-08,9278259.4,15246199060,1643.2175910063474,서울
2022-09,8742859.6,14312841800,1637.0892882690237,서울
2022-10,9014638.2,14432369020,1600.9925966856886,서울
2022-11,9249615.0,14069528730,1521.0934433487232,서울
2022-12,9760070.8,15997756760,1639.1025319201576,서울
2023-01,9411873.0,13232165810,1405.9014406590484,서울
2023-02,9484701.0,15622096300,1647.0836877198342,서울
2023-03,11354414.0,18530191920,1631.9813528025313,서울
2023-04,9568274.0,10351729350,1081.880530386149,서울
2023-05,9127647.0,14793088010,1620.6901964986157,서울
2023-06,8595882.0,11862270400,1379.9945601859122,서울
2023-07,8088550.5,12188833180,1506.9242851361316,서울
2023-08,2062984.0,3361455000,1629.4139944856577,서울
2020-01,1572788.4000000001,1681745720,1069.2765282348216,부산
2020-02,1647451.3,1372014542,832.8103792810142,부산
2020-03,1696068.0000000002,1191287642,702.3820047309423,부산
2020-04,1635385.5,1165127230,712.4480619401359,부산
