year,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가,전국 평균단가
2020,812005.0,1197880000,1475.2125910554737,12930921.5,19154646795,1481.3056281410416,18945054.0,27747110855,1464.6097527618554,124670.0,188352021,1510.804692387904,345475.0,451675586,1307.4045473623273,1469.9161825960277
2021,1081750.0,1493458500,1380.5948694245435,10836742.5,18070861715,1667.5547762623316,17464049.5,27987071700,1602.553388319244,243462.0,307410678,1262.6638982674915,335472.0,484914046,1445.4680152143844,1613.529207940223
2022,886048.0,1607925000,1814.7154555960851,11477762.4,21251265772,1851.5164394760427,17685223.5,32482184450,1836.6849845013269,276693.5,461150481,1666.64732275966,433172.0,853425970,1970.178058600279,1841.9368956029682
2023,316065.0,482971000,1528.0749212978344,7337152.899999999,14461399150,1970.9823888227818,11124772.3,21371374340,1921.061731753377,125452.5,167472078,1334.9441262629282,237879.0,361031320,1517.7099281567519,1924.8539084947306
