Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역
2020-01-01,2720.0,3808000,1400.0,75.2125910554737,서울
2020-02-01,1340.0,3515000,2623.134328358209,-1147.9217373027354,서울
2020-03-01,1300.0,1400000,1076.923076923077,398.2895141323968,서울
2020-04-01,840.0,705500,839.8809523809524,635.3316386745213,서울
2020-05-01,4320.0,2747000,635.8796296296297,839.332961425844,서울
2020-06-01,122180.0,154551500,1264.94925519725,210.26333585822363,서울
2020-07-01,187830.0,166273500,885.2339881808018,589.9786028746719,서울
2020-08-01,153645.0,309458000,2014.110449412607,-538.8978583571334,서울
2020-09-01,202482.0,446301000,2204.151480131567,-728.9388890760933,서울
2020-10-01,120148.0,90803000,755.75956320538,719.4530278500937,서울
2020-11-01,14870.0,17918500,1205.0100874243444,270.2025036311293,서울
2020-12-01,330.0,399000,1209.090909090909,266.1216819645647,서울
2021-01-01,0.0,0,0.0,1380.5948694245435,서울
2021-02-01,230.0,211000,917.391304347826,463.2035650767175,서울
2021-03-01,1345.0,2241500,1666.542750929368,-285.9478815048244,서울
2021-04-01,4421.0,9596800,2170.7306039357613,-790.1357345112178,서울
2021-05-01,30569.0,58597800,1916.902744610553,-536.3078751860096,서울
2021-06-01,142651.0,189035900,1325.1635109462954,55.43135847824806,서울
2021-07-01,278929.0,323522000,1159.872225548437,220.72264387610653,서울
2021-08-01,255150.0,310796500,1218.0932784636489,162.50159096089465,서울
2021-09-01,261648.0,377483000,1442.713110744206,-62.1182413196625,서울
2021-10-01,81372.0,139907500,1719.3567812023791,-338.7619117778356,서울
2021-11-01,22565.0,75779500,3358.276091291824,-1977.6812218672803,서울
2021-12-01,2870.0,6287000,2190.5923344947737,-809.9974650702302,서울
2022-01-01,13090.0,27531000,2103.2085561497324,-288.4931005536473,서울
2022-02-01,10530.0,24209500,2299.097815764482,-484.3823601683971,서울
2022-03-01,14140.0,25811000,1825.388967468176,-10.673511872090558,서울
2022-04-01,15530.0,27518500,1771.9575016097874,42.75795398629771,서울
2022-05-01,24620.0,33193500,1348.2331437855405,466.4823118105446,서울
2022-06-01,66580.0,90292000,1356.1429858816462,458.57246971443897,서울
2022-07-01,140685.0,347148500,2467.55873049721,-652.8432749011249,서울
2022-08-01,178810.0,445379000,2490.7946982830936,-676.0792426870084,서울
2022-09-01,269573.0,392509500,1456.0415917024332,358.673863893652,서울
