Date,서울 총거래물량,서울 총거래금액,서울 평균거래금액,부산 총거래물량,부산 총거래금액,부산 평균거래금액,대구 총거래물량,대구 총거래금액,대구 평균거래금액,대전 총거래물량,대전 총거래금액,대전 평균거래금액,광주 총거래물량,광주 총거래금액,광주 평균거래금액
2020-01,2720.0,3808000,1400.0,430514.0,1513741950,3516.127117817307,524933.0,1848774900,3521.9254647735997,0.0,0,0.0,3760.0,11296800,3004.468085106383
2020-02,1340.0,3515000,2623.134328358209,499632.4,1480696080,2963.5709773825715,621683.0,1826397600,2937.8277996985603,0.0,0,0.0,6250.0,16238900,2598.224
2020-03,1300.0,1400000,1076.923076923077,1039380.0,1655135842,1592.4261020993285,1336225.0,2235324800,1672.8655727890139,1520.0,2064200,1358.0263157894738,11010.0,21872200,1986.5758401453224
2020-04,840.0,705500,839.8809523809524,1414751.0,1578872900,1116.0076225427654,2075460.0,2355010800,1134.693417362898,975.0,812500,833.3333333333334,19990.0,26046300,1302.9664832416208
2020-05,4320.0,2747000,635.8796296296297,1493296.4,1579825300,1057.9448929227983,2256223.0,2304184700,1021.2575175414842,3460.0,3405100,984.1329479768787,16270.0,15969726,981.5443146896127
2020-06,122180.0,154551500,1264.94925519725,1508721.0,1499239030,993.7152263407218,2660200.0,2839547355,1067.4187485903315,13240.0,14022950,1059.1351963746224,46210.0,54417460,1177.6122051504003
2020-07,187830.0,166273500,885.2339881808018,1328223.9,1457981160,1097.6923092559923,2241124.0,2427887600,1083.3347909352628,21815.0,20739076,950.6796241118496,81880.0,69857020,853.1634098680996
2020-08,153645.0,309458000,2014.110449412607,1541879.6,2904709132,1883.8754543480566,2185106.0,4267180800,1952.848420168175,33880.0,60202545,1776.9346221959859,72730.0,107420560,1476.9773133507495
2020-09,202482.0,446301000,2204.151480131567,1073186.7,2299521744,2142.7042880796043,1840035.0,3703494300,2012.7303556725824,33230.0,69978050,2105.869696057779,26370.0,61394160,2328.1820250284413
2020-10,120148.0,90803000,755.75956320538,1162562.8,1060746380,912.4207139605705,1605197.0,1354271800,843.679498528841,13760.0,10961300,796.6061046511628,39875.0,43253660,1084.7312852664577
2020-11,14870.0,17918500,1205.0100874243444,836546.6,958323708,1145.571218626673,949930.0,1219439700,1283.715326392471,70.0,75200,1074.2857142857142,18170.0,19024100,1047.0060539350577
2020-12,330.0,399000,1209.090909090909,602227.1,1165853569,1935.9035304123645,648938.0,1365596500,2104.355886078485,2720.0,6091100,2239.375,2960.0,4884700,1650.2364864864865
2021-01,0.0,0,0.0,375345.0,1325733600,3532.04012308676,452529.0,1603418700,3543.23965977871,2020.0,6441300,3188.762376237624,1460.0,2380500,1630.4794520547946
2021-02,230.0,211000,917.3913043478261,413757.4,1243290515,3004.8780154747683,554724.5,1597133300,2879.1468557815638,2890.0,6406500,2216.7820069204154,60.0,210000,3500.0
2021-03,1345.0,2241500,1666.5427509293681,865938.5,1850698140,2137.2166037195484,1123442.0,2510320400,2234.4904320828314,3360.0,6902000,2054.1666666666665,4450.0,11981800,2692.5393258426966
2021-04,4421.0,9596800,2170.7306039357613,1123413.0,1723155560,1533.8575928888129,1800240.0,2723120900,1512.643258676621,8090.0,11232200,1388.4054388133497,16840.0,32534500,1931.977434679335
2021-05,30569.0,58597800,1916.902744610553,1126638.0,1538783200,1365.818656924407,1939630.0,2717811300,1401.2008991405578,7940.0,11174500,1407.367758186398,20970.0,37353614,1781.2882212684788
2021-06,142651.0,189035900,1325.1635109462954,1097639.0,1277834500,1164.1664518115701,2504760.0,2719337800,1085.6680081125537,24420.0,26258820,1075.2997542997543,35273.0,47479080,1346.0459841805348
2021-07,278929.0,323522000,1159.872225548437,1597561.4,1703012400,1066.0074786483951,2634043.0,2823297100,1071.8492826426902,61650.0,57407850,931.1897810218978,88510.0,79446722,897.6016495311264
2021-08,255150.0,310796500,1218.0932784636489,1577244.7,1971361600,1249.876826341531,2092257.0,2785616700,1331.3931797097584,59917.0,67585700,1127.9887177261878,88077.0,101019840,1146.9491467693042
2021-09,261648.0,377483000,1442.713110744206,1017393.5,1636683500,1608.702532500945,1838280.0,2647653100,1440.288258589551,58055.0,91121608,1569.573817931272,33800.0,53311020,1577.2491124260355
2021-10,81372.0,139907500,1719.3567812023791,798115.0,1560367850,1955.0664377940523,1340979.0,2517038400,1877.015523733034,12740.0,16840500,1321.8602825745684,28230.0,67846420,2403.344668792065
2021-11,22565.0,75779500,3358.276091291824,509717.0,1353172600,2654.7527353413757,787184.0,2182878800,2773.022317526779,2380.0,6039700,2537.6890756302523,13962.0,43196850,3093.886978942845
2021-12,2870.0,6287000,2190.5923344947737,333980.0,886768250,2655.15375172166,395981.0,1159445200,2928.032405595218,0.0,0,0.0,3840.0,8153700,2123.359375
2022-01,13090.0,27531000,2103.2085561497324,489412.0,1583383470,3235.2771693378995,543760.0,1797218000,3305.167721053406,800.0,2559400,3199.25,1540.0,3975700,2581.6233766233768
2022-02,10530.0,24209500,2299.097815764482,425807.0,1170863780,2749.7523056220307,667957.0,1812310300,2713.214024256052,460.0,1173400,2550.8695652173915,2600.0,4926400,1894.7692307692307
2022-03,14140.0,25811000,1825.3889674681755,737447.6,1960240850,2658.1425581966773,1124290.0,3080216600,2739.6993658219853,960.0,2264200,2358.5416666666665,6170.0,15506800,2513.257698541329
2022-04,15530.0,27518500,1771.9575016097874,1132300.0,1865918000,1647.9007330212842,1721450.0,2860064600,1661.4276336809085,3330.0,5209300,1564.3543543543544,29910.0,51325300,1715.9913072550987
2022-05,24620.0,33193500,1348.2331437855403,1463853.0,1789004900,1222.120595442302,2618580.0,3049857000,1164.6988062232201,4360.0,5109100,1171.8119266055046,36460.0,43783500,1200.8639605046626
2022-06,66580.0,90292000,1356.1429858816462,1213554.0,1744909300,1437.8505612440815,2181380.0,3248548500,1489.2171469436778,33150.0,51089000,1541.1463046757165,38160.0,58726400,1538.9517819706498
2022-07,140685.0,347148500,2467.55873049721,1135501.0,2894648472,2549.2258236672624,1840156.0,4914988700,2670.963059653638,39150.0,93915600,2398.8659003831417,86942.0,219443010,2524.016125692991
2022-08,178810.0,445379000,2490.7946982830936,1420611.0,2665724000,1876.4630148576914,1999287.0,3982367200,1991.8937101076533,69109.5,133859065,1936.9126531084728,95762.0,209901060,2191.903469016938
2022-09,269573.0,392509500,1456.0415917024332,1025824.8,1565229300,1525.825170146013,1812400.0,2473108900,1364.5491613330391,87216.0,116235666,1332.7332828838746,55998.0,119084000,2126.575949141041
2022-10,131440.0,173065500,1316.688222763238,1060063.0,1479087900,1395.283016198094,1549407.0,2126171600,1372.2486086612491,33898.0,43221650,1275.050150451354,55480.0,88912000,1602.5955299206921
2022-11,21050.0,21267000,1010.3087885985748,845492.0,1056072350,1249.062498521571,1013982.0,1284172700,1266.4649865579468,3280.0,3787500,1154.7256097560976,18700.0,25146500,1344.7326203208556
2022-12,0.0,0,0.0,527897.0,1476183450,2796.3474882410774,612574.5,1853160350,3025.1999552707466,980.0,2726600,2782.2448979591836,5450.0,12695300,2329.412844036697
2023-01,3430.0,9907000,2888.338192419825,392630.9,1670488600,4254.602987182109,440599.3,2032086240,4612.095933879151,0.0,0,0.0,0.0,0,0.0
2023-02,1160.0,3318000,2860.344827586207,384482.3,1713466250,4456.554306921281,436509.0,1995740900,4572.049831733138,570.0,2740600,4808.070175438596,460.0,1794000,3900.0
2023-03,857.0,2386000,2784.1306884480746,777951.0,2297217200,2952.907316784733,1001660.0,3161332500,3156.0933849809317,2690.0,7632800,2837.472118959108,660.0,2113200,3201.818181818182
2023-04,70.0,126000,1800.0,1090540.1,2174104900,1993.6038115425556,1497508.0,3021924400,2017.9687854756035,3600.0,6820000,1894.4444444444443,17880.0,44668900,2498.26062639821
2023-05,23660.0,32051000,1354.6491969568892,1431614.4,1966951200,1373.939239504716,2287530.0,3083761400,1348.0747356318825,12510.0,14914800,1192.230215827338,37490.0,74338700,1982.894105094692
2023-06,96620.0,103810000,1074.415234941006,1396719.7,1781727600,1275.6515140439417,2656008.0,3233615300,1217.471972975985,38660.0,37119073,960.1415675116399,37475.0,51630720,1377.7376917945296
2023-07,130450.0,239770000,1838.022230739747,1318353.1,2037195700,1545.2580192666137,1989268.0,3405507100,1711.939819069125,47352.5,71571105,1511.4535663375746,99846.0,131826220,1320.2954550007012
2023-08,59818.0,91603000,1531.361797452272,544861.4,820247700,1505.4244987807908,815690.0,1437406500,1762.197035638539,20070.0,26673700,1329.0333831589437,44068.0,54659580,1240.3462830171552
