Date,서울 총거래물량,서울 총거래금액,서울 평균단가,서울 평균단가 편차,부산 총거래물량,부산 총거래금액,부산 평균단가,부산 평균단가 편차,대구 총거래물량,대구 총거래금액,대구 평균단가,대구 평균단가 편차,대전 총거래물량,대전 총거래금액,대전 평균단가,대전 평균단가 편차,광주 총거래물량,광주 총거래금액,광주 평균단가,광주 평균단가 편차,전국 평균단가,전국 평균단가 편차
2020-01-01,2720.0,3808000,1400.0,75.2125910554737,430514.0,1513741950,3516.127117817307,-2034.8214896762652,524933.0,1848774900,3521.9254647736,-2057.315712011745,0.0,0,0.0,-1493.6633927184791,3760.0,11296800,3004.468085106383,-1697.0635377440558,3511.3076667980004,-2041.3914842019728
2020-02-01,1340.0,3515000,2623.134328358209,-1147.9217373027354,499632.4,1480696080,2963.5709773825715,-1482.26534924153,621683.0,1826397600,2937.8277996985603,-1473.218046936705,0.0,0,0.0,-1087.4193076120962,6250.0,16238900,2598.224,-1290.8194526376728,2946.9675492738365,-1477.051366677809
2020-03-01,1300.0,1400000,1076.923076923077,398.2895141323968,1039380.0,1655135842,1592.4261020993283,-111.12047395828677,1336225.0,2235324800,1672.865572789014,-208.25582002715876,1520.0,2064200,1358.0263157894738,-475.7711477574185,11010.0,21872200,1986.5758401453224,-679.1712927829951,1638.796218352874,-168.88003575684638
2020-04-01,840.0,705500,839.8809523809524,635.3316386745213,1414751.0,1578872900,1116.0076225427654,365.2980055982762,2075460.0,2355010800,1134.693417362898,329.9163353989575,975.0,812500,833.3333333333334,207.83820914628316,19990.0,26046300,1302.9664832416208,4.4380641207064855,1127.9698042377938,341.9463783582337
2020-05-01,4320.0,2747000,635.8796296296297,839.332961425844,1493296.4,1579825300,1057.9448929227983,423.3607352182432,2256223.0,2304184700,1021.2575175414842,443.3522352203712,3460.0,3405100,984.1329479768788,529.2603776982912,16270.0,15969726,981.5443146896127,325.8602326727146,1035.1291872358304,434.7869953601971
2020-06-01,122180.0,154551500,1264.94925519725,210.26333585822363,1508721.0,1499239030,993.7152263407218,487.5904018003198,2660200.0,2839547355,1067.4187485903317,397.1910041715237,13240.0,14022950,1059.1351963746224,333.19248723750366,46210.0,54417460,1177.6122051504003,129.792342211927,1048.5518489497078,421.36433364631966
2020-07-01,187830.0,166273500,885.2339881808018,589.9786028746719,1328223.9,1457981160,1097.6923092559923,383.6133188850493,2241124.0,2427887600,1083.3347909352628,381.2749618265925,21815.0,20739076,950.6796241118496,657.6412825198043,81880.0,69857020,853.1634098680996,454.2411374942277,1073.0056293746422,396.91055322138527
2020-08-01,153645.0,309458000,2014.110449412607,-538.8978583571334,1541879.6,2904709132,1883.8754543480568,-402.5698262070152,2185106.0,4267180800,1952.848420168175,-488.2386674063196,33880.0,60202545,1776.934622195986,33.82737903715429,72730.0,107420560,1476.9773133507497,-169.57276598842236,1918.362046423785,-448.4458638277574
2020-09-01,202482.0,446301000,2204.151480131567,-728.9388890760933,1073186.7,2299521744,2142.7042880796043,-661.3986599385628,1840035.0,3703494300,2012.7303556725824,-548.120602910727,33230.0,69978050,2105.869696057779,-817.3773326405374,26370.0,61394160,2328.1820250284413,-1020.777477666114,2072.459794633188,-602.5436120371603
2020-10-01,120148.0,90803000,755.75956320538,719.4530278500937,1162562.8,1060746380,912.4207139605704,568.8849141804711,1605197.0,1354271800,843.679498528841,620.9302542330144,13760.0,10961300,796.6061046511628,426.0734071214463,39875.0,43253660,1084.7312852664577,222.67326209586963,870.3038895099538,599.6122930860737
2020-11-01,14870.0,17918500,1205.0100874243444,270.2025036311293,836546.6,958323708,1145.571218626673,335.7344095143685,949930.0,1219439700,1283.715326392471,180.8944263693843,70.0,75200,1074.2857142857142,463.7986384528463,18170.0,19024100,1047.0060539350577,260.3984934272696,1217.1892274871666,252.72695510886092
2020-12-01,330.0,399000,1209.090909090909,266.1216819645647,602227.1,1165853569,1935.9035304123645,-454.5979022713229,648938.0,1365596500,2104.355886078485,-639.7461333166298,2720.0,6091100,2239.375,-139.4317940985825,2960.0,4884700,1650.2364864864865,-342.83193912415913,2022.64972397242,-552.7335413763924
2021-01-01,0.0,0,0.0,1380.5948694245435,375345.0,1325733600,3532.04012308676,-1864.4853468244285,452529.0,1603418700,3543.23965977871,-1940.686271459466,2020.0,6441300,3188.762376237624,-367.8155537873031,1460.0,2380500,1630.4794520547946,-185.01143684041017,3533.962788415044,-1920.4335804748212
2021-02-01,230.0,211000,917.391304347826,463.2035650767175,413757.4,1243290515,3004.8780154747683,-1337.3232392124366,554724.5,1597133300,2879.146855781564,-1276.5934674623202,2890.0,6406500,2216.782006920416,-2237.3361017325087,60.0,210000,3500.0,-2054.531984785616,2930.2901708917475,-1316.7609629515246
2021-03-01,1345.0,2241500,1666.542750929368,-285.9478815048244,865938.5,1850698140,2137.2166037195484,-469.6618274572168,1123442.0,2510320400,2234.4904320828314,-631.9370437635873,3360.0,6902000,2054.1666666666665,-1429.875427575205,4450.0,11981800,2692.5393258426966,-1247.0713106283122,2192.67750810531,-579.1483001650872
2021-04-01,4421.0,9596800,2170.7306039357613,-790.1357345112178,1123413.0,1723155560,1533.8575928888129,133.69718337351878,1800240.0,2723120900,1512.643258676621,89.91012964262313,8090.0,11232200,1388.4054388133495,-669.3135364118434,16840.0,32534500,1931.977434679335,-486.5094194649505,1523.7500389433949,89.77916899682805
