Date,서울 총거래물량,서울 총거래금액,서울 평균단가,서울 평균단가 편차,부산 총거래물량,부산 총거래금액,부산 평균단가,부산 평균단가 편차,대구 총거래물량,대구 총거래금액,대구 평균단가,대구 평균단가 편차,대전 총거래물량,대전 총거래금액,대전 평균단가,대전 평균단가 편차,광주 총거래물량,광주 총거래금액,광주 평균단가,광주 평균단가 편차,전국 평균단가,전국 평균단가 편차
2020-01-01,2780377.6500000004,9830108400,3535.5299306193165,-1543.7628719800687,314022.5,1158346710,3688.737940752653,-1449.4078789887772,810553.0,2032616500,2507.6910454960994,-860.657016033631,430426.0,1337955110,3108.4439834024897,-1536.2116400766467,478129.0,1644281360,3438.991067264274,-1391.1655210332237,3324.666247838388,-1372.6737629937743
2020-02-01,2720669.88,9024401700,3316.9778392959606,-1325.2107806567128,331341.0,1143201466,3450.2264011999723,-1210.8963394360967,827334.0,1977870900,2390.655889882442,-743.6218604199735,406261.0,1228049490,3022.809203935401,-1286.9610886817873,451781.0,1441064160,3189.7405158694146,-1141.9149696383643,3127.1644244516506,-1175.171939607037
2020-03-01,3739541.28,9722242800,2599.84903816866,-608.0819795294124,435282.4,1220358529,2803.601820335488,-564.2717585716123,978456.0,1935109400,1977.7173424252087,-330.6833129627403,520843.0,1246237300,2392.7312069088,-666.6892693942968,587348.0,1509172300,2569.468696581924,-521.6431503508738,2496.7170059478744,-544.7245211032609
2020-04-01,5703989.949999999,7969557560,1397.189972257928,594.5770863813198,607195.5,995696080,1639.8278313986186,599.502230365257,1427859.0,1686934100,1181.4430556518537,465.59097381061474,615618.0,884077957,1436.082046009051,461.39614300081803,800667.0,1154068030,1441.3832841868093,606.442262044241,1386.114371558743,565.8781132858705
2020-05-01,5487463.43,7107073600,1295.1473282073428,696.619730431905,644394.2,875168986,1358.1267273976086,881.203334366267,1371680.0,1533032100,1117.6310072320075,529.4030222304609,631163.0,818889984,1297.4302739545883,667.9208001199681,759615.0,938017136,1234.8586270676592,812.9669191633911,1267.3467273839035,684.64575746071
2020-06-01,5435012.79,6912510040,1271.847980324624,719.9190783146239,556802.2,827896497,1486.8772016346202,752.4528601292554,1417036.0,1587006500,1119.9479053460886,527.0861241163798,623977.0,715574424,1146.7961543454326,549.7629022478432,715343.0,967870900,1353.0165249397842,694.8090212912662,1258.6469072891316,693.3455775554819
2020-07-01,4369081.64,6969965000,1595.2929183534325,396.47414028581534,517931.6,935421697,1806.071877058669,433.25818470520653,1249719.0,1564919100,1252.216778331769,394.81725113069933,554574.0,806098452,1453.5453375022992,277.89422694397376,545036.0,885620930,1624.8852002436536,422.94034598739677,1542.495477521804,409.4970073228094
2020-08-01,3399364.19,10140301900,2982.999564986298,-991.2325063470503,419775.4,1354083040,3225.7322368104465,-986.4021750465708,1036770.0,2592479800,2500.535123508589,-853.5010940461207,401571.0,1112157900,2769.5174701360406,-1134.0630180942544,456631.2,1386717010,3036.8424452818817,-989.0168990508314,2902.5927842409255,-950.600299396312
2020-09-01,4424172.16,13495784500,3050.4654909270075,-1058.6984322877597,425793.8000000001,1461229576,3431.77748478254,-1192.4474230186643,1069058.0,2770102200,2591.1617517478003,-944.1277222853319,463269.0,1232979303,2661.4759524164147,-1339.1446209637015,448876.5,1455223520,3241.924048151329,-1194.0985019202785,2988.554041667706,-1036.5615568230924
2020-10-01,5212849.56,6208943600,1191.0843634628122,800.6826951764356,509824.0,787313146,1544.2841961147376,695.045865649138,1129309.0,1136481000,1006.3507861887224,640.683243273746,485244.0,526468105,1084.9554141833798,633.7447551133282,549347.0,697140390,1269.0346720742991,778.7908741567512,1186.3639094745222,765.6285753700913
2020-11-01,4236717.58,6075622000,1434.0398870769195,557.7271715623283,464924.7,829270587,1783.6664453405035,455.6636164233721,876260.0,1108274200,1264.777805674115,382.2562237883535,505340.0,733375845,1451.2523152728857,426.2640194637504,534602.0,789348090,1476.515407723877,571.3101385071734,1440.9360992096356,511.0563856349779
2020-12-01,3592812.1899999995,8326873300,2317.647808915946,-325.8807502766981,432768.8,1086747462,2511.1502076859515,-271.8201459220759,967796.0,1753156100,1811.493434566789,-164.45940510432047,451771.0,946171300,2094.3604171139805,-321.5275915237712,503383.0,1119678340,2224.3070187113985,-176.4814724803482,2224.5200578504514,-272.5275730058379
2021-01-01,2515752.2800000003,9552292700,3796.9925639896464,-1706.1907992055676,289478.7,1177572900,4067.908623328763,-1770.015817066589,872001.0,2386581700,2736.902480616421,-1024.8037631209722,304294.0,1139783000,3745.663733100225,-1425.7148635702192,426124.0,1548581140,3634.109179487661,-1468.9098507847266,3585.768269194551,-1533.9131244154933
2021-02-01,2784898.8,9301821850,3340.093309674305,-1249.2915448902263,338578.5,1155127980,3411.6991480557685,-1113.8063417935946,927252.0,2252878300,2429.628946607826,-717.5302291123771,353502.0,1121350300,3172.1186867401034,-998.0513452753767,438692.0,1406642060,3206.4456611928185,-1041.246332489884,3146.409626185903,-1094.5544814068453
2021-03-01,3687099.34,9773525250,2650.735537274675,-559.9337724905963,455159.7,1365005850,2998.960255048942,-701.0674487867682,1123990.0,2469825100,2197.372841395386,-485.27412389993697,470872.0,1277947300,2714.001469613823,-439.3936116978284,645440.0,1708988240,2647.7879276152703,-482.5885989123358,2600.0991821301877,-548.2440373511299
2021-04-01,5199504.12,8397347080,1615.0284500591952,475.7733147248837,630508.1,1128403450,1789.6732016606925,508.2196046014815,1512958.0,2032180800,1343.183882169895,368.9148353255539,497880.0,844059300,1695.3067004097372,604.7431259636896,740575.0,1187623980,1603.6511899537522,561.5481387491823,1583.608114224178,468.24703055487976
