Date,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가
2020-01-01,2780377.6500000004,9830108400,3535.5299306193165,314022.5,1158346710,3688.737940752653,810553.0,2032616500,2507.6910454960994,430426.0,1337955110,3108.4439834024897,478129.0,1644281360,3438.991067264274
2020-02-01,2720669.88,9024401700,3316.9778392959606,331341.0,1143201466,3450.2264011999723,827334.0,1977870900,2390.655889882442,406261.0,1228049490,3022.809203935401,451781.0,1441064160,3189.7405158694146
2020-03-01,3739541.28,9722242800,2599.84903816866,435282.4,1220358529,2803.601820335488,978456.0,1935109400,1977.7173424252087,520843.0,1246237300,2392.7312069088,587348.0,1509172300,2569.468696581924
2020-04-01,5703989.949999999,7969557560,1397.189972257928,607195.5,995696080,1639.8278313986186,1427859.0,1686934100,1181.4430556518537,615618.0,884077957,1436.082046009051,800667.0,1154068030,1441.3832841868093
2020-05-01,5487463.43,7107073600,1295.1473282073428,644394.2,875168986,1358.1267273976086,1371680.0,1533032100,1117.6310072320075,631163.0,818889984,1297.4302739545883,759615.0,938017136,1234.8586270676592
2020-06-01,5435012.79,6912510040,1271.847980324624,556802.2,827896497,1486.8772016346202,1417036.0,1587006500,1119.9479053460886,623977.0,715574424,1146.7961543454326,715343.0,967870900,1353.0165249397842
2020-07-01,4369081.64,6969965000,1595.2929183534325,517931.6,935421697,1806.071877058669,1249719.0,1564919100,1252.216778331769,554574.0,806098452,1453.5453375022992,545036.0,885620930,1624.8852002436536
2020-08-01,3399364.19,10140301900,2982.999564986298,419775.4,1354083040,3225.7322368104465,1036770.0,2592479800,2500.535123508589,401571.0,1112157900,2769.5174701360406,456631.2,1386717010,3036.8424452818817
2020-09-01,4424172.16,13495784500,3050.4654909270075,425793.8000000001,1461229576,3431.77748478254,1069058.0,2770102200,2591.1617517478003,463269.0,1232979303,2661.4759524164147,448876.5,1455223520,3241.924048151329
2020-10-01,5212849.56,6208943600,1191.0843634628122,509824.0,787313146,1544.2841961147376,1129309.0,1136481000,1006.3507861887224,485244.0,526468105,1084.9554141833798,549347.0,697140390,1269.0346720742991
2020-11-01,4236717.58,6075622000,1434.0398870769195,464924.7,829270587,1783.6664453405035,876260.0,1108274200,1264.777805674115,505340.0,733375845,1451.2523152728857,534602.0,789348090,1476.515407723877
2020-12-01,3592812.1899999995,8326873300,2317.647808915946,432768.8,1086747462,2511.1502076859515,967796.0,1753156100,1811.493434566789,451771.0,946171300,2094.3604171139805,503383.0,1119678340,2224.3070187113985
2021-01-01,2515752.2800000003,9552292700,3796.9925639896464,289478.7,1177572900,4067.908623328763,872001.0,2386581700,2736.902480616421,304294.0,1139783000,3745.663733100225,426124.0,1548581140,3634.109179487661
2021-02-01,2784898.8,9301821850,3340.093309674305,338578.5,1155127980,3411.6991480557685,927252.0,2252878300,2429.628946607826,353502.0,1121350300,3172.1186867401034,438692.0,1406642060,3206.4456611928185
2021-03-01,3687099.34,9773525250,2650.735537274675,455159.7,1365005850,2998.960255048942,1123990.0,2469825100,2197.372841395386,470872.0,1277947300,2714.001469613823,645440.0,1708988240,2647.7879276152703
2021-04-01,5199504.12,8397347080,1615.0284500591952,630508.1,1128403450,1789.6732016606925,1512958.0,2032180800,1343.183882169895,497880.0,844059300,1695.3067004097372,740575.0,1187623980,1603.6511899537522
2021-05-01,4877778.4,8370913570,1716.1324036368687,590536.4,1076573750,1823.0438462387756,1460342.0,1990295900,1362.8971158810743,429576.0,756977050,1762.149305361566,707860.0,1155854060,1632.8851185262622
2021-06-01,4793488.4,7282610250,1519.2714871282467,503662.0,895714800,1778.4045649661875,1469426.0,1948376300,1325.9438039071038,410665.0,639144007,1556.3634763128098,653470.0,956384395,1463.5475155707225
2021-07-01,4644589.35,4126580450,888.4704629484629,753932.9,760043600,1008.1050979470454,1542884.0,1076610500,697.7909551204109,435521.0,385714890,885.6401643089541,557883.0,476417020,853.9730015074846
2021-08-01,3756797.22,6405382590,1705.011533734046,550469.7,1062873200,1930.8477832658184,1098404.0,1634272900,1487.8613879774657,278014.0,514594548,1850.966311049084,433754.0,853531760,1967.7784181817344
2021-09-01,4588209.55,9799784380,2135.8624258998807,535294.5,1422833300,2658.038332170422,1231269.0,2386986100,1938.638997652016,407117.0,951951571,2338.2751665983,457802.0,1151423360,2515.1121227080703
2021-10-01,3629822.45,8101611660,2231.958111339578,428466.3,1200484000,2801.816618949962,796739.0,1629569718,2045.2992987665973,310056.0,701738900,2263.2650230926024,388098.0,929376480,2394.6953604501955
2021-11-01,3600907.58,8648078750,2401.6386307809653,415082.8,1154668800,2781.7794425594125,932316.0,1926812500,2066.694661466713,360056.0,889418300,2470.2221321127827,422401.0,1061976390,2514.142698525809
2021-12-01,2095295.27,6781030640,3236.312674919559,262487.4,821985400,3131.523265497696,625977.0,1539123400,2458.7539158786985,248504.0,728471500,2931.4276631362072,296556.0,919568780,3100.826757846747
2022-01-01,2826074.21,11059930100,3913.5313789229904,403176.8,1657922300,4112.147077907261,912350.0,2613390400,2864.460349646517,332482.0,1296292800,3898.8360272135033,397567.0,1526465481,3839.517568108017
2022-02-01,2675632.47,7577148150,2831.909178467998,424483.4,1174968300,2767.995874514763,969204.0,1819603100,1877.4201303337584,327074.0,894418200,2734.605012932853,381397.0,1019232030,2672.36509463892
