year,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가,전국 평균단가
2020,51102052.3,101783384400,1991.767058639248,5660056.1,12674733776,2239.330061763876,13161830.0,21677981900,1647.0340294624684,6090057.0,11588035170,1902.7794271876276,6830758.7,13988202166,2047.8255462310503,1951.9924848446135
2021,46174142.760000005,96540979170,2090.801764784079,5753657.0,13221287030,2297.892806262174,13593558.0,23273513218,1712.098717495449,4506057.0,9951150666,2208.394315917442,6168655.0,13356367665,2165.1993287029345,2051.855144779058
2022,47791699.42,108330801715,2266.7283865127724,6384089.899999999,15242087730,2387.5114493610126,13555823.0,24664233900,1819.4567677668847,4866515.0,11134510089,2287.9843356077195,7026107.5,15231159196,2167.7947848079466,2192.834794892664
2023,28206576.29,68388891702,2424.572588990381,3980311.4,10402027600,2613.370300625222,7653050.0,16120285400,2106.387048301004,3000827.0,7650796664,2549.56272520875,4523155.0,11418522574,2524.459713186924,2406.484190624638
