Date,서울 총거래물량,서울 총거래금액,서울 평균거래금액,부산 총거래물량,부산 총거래금액,부산 평균거래금액,대구 총거래물량,대구 총거래금액,대구 평균거래금액,대전 총거래물량,대전 총거래금액,대전 평균거래금액,광주 총거래물량,광주 총거래금액,광주 평균거래금액
2020-01,9462928.5,9136197340,965.472510967403,1572788.4000000001,1681745720,1069.2765282348216,766068.0,753969700,984.2072766386274,1655844.4,1592782952,961.9158370194688,931481.0,891210180,956.7668905753311
2020-02,8754610.0,7387886850,843.885318706373,1647451.3,1372014542,832.8103792810142,689616.5,560103600,812.1957638774594,1528847.0,1236327688,808.6667194297402,870570.0,694122450,797.3195148006479
2020-03,9109415.0,6478744150,711.2140735711349,1696068.0000000002,1191287642,702.3820047309423,487140.0,347683230,713.7234265303608,1641619.0,1162323521,708.0348856829752,884383.0,579553380,655.3194487003934
2020-04,8229718.0,6756209940,820.9527884187527,1635385.5,1165127230,712.4480619401359,596138.0,424127350,711.4583368280499,1355853.0,1180578684,870.7276408283199,831719.0,610273730,733.7498962991107
2020-05,7901230.0,9477792330,1199.5337852460946,1404740.2000000002,1513407423,1077.3575234765829,413997.0,386009250,932.3962492481829,1477557.0,1817564652,1230.1147448118752,725731.0,827794130,1140.6349322269546
2020-06,7914290.5,10485254220,1324.8508151172869,1294017.8,1523764489,1177.5452308306733,378845.9,401434720,1059.625351627139,1229392.0,1766107594,1436.5699418899749,704524.0,946866650,1343.980687669973
2020-07,8096983.1,10570971010,1305.5444082623812,1416605.2999999998,1610149073,1136.625052158142,404956.2,432844120,1068.8665095138683,1180906.0,1508151210,1277.1136822067124,697667.0,800507160,1147.4057967483054
2020-08,7364979.3,15393054610,2090.0336556275183,1364894.9000000001,2243148764,1643.4589681593798,320024.0,534172850,1669.164968877334,1145669.8,2271317308,1982.5235054637906,798235.5,1264770430,1584.4577571405932
2020-09,8882357.0,20153143600,2268.895924809147,1601332.2,3260979130,2036.4163850573916,466034.5,928959450,1993.3276399064875,1254353.0,3414877224,2722.4212195450564,989511.0,1962546520,1983.3498768583675
2020-10,8084234.0,18937973340,2342.5810460211815,1338328.9,2740074341,2047.3848700420353,395559.0,794400050,2008.2972451644382,1141862.5,2713735789,2376.5871889128507,709272.5,1577730430,2224.434797627146
2020-11,9074613.0,20620399360,2272.3172172741693,1488844.8,3102720983,2083.978788789805,386193.0,731634600,1894.4791852778274,1500355.5,3596650228,2397.1986825788954,724659.0,1655748720,2284.8660128419024
2020-12,9257988.8,15235945860,1645.7079598108824,1606724.7,2877134044,1790.6826502387123,952808.0,1577310300,1655.433518610255,1512822.5,2453181000,1621.5920902815762,840447.0,1484629250,1766.4757563534642
2021-01,8241883.3,24222400650,2938.9400175078918,1300116.7000000002,3578470740,2752.4227171299312,684282.0,1605912240,2346.857348286233,1190941.0,3591954000,3016.0637680623977,737649.0,2054593040,2785.326137499
2021-02,7644953.0,33632029700,4399.246103932882,959377.4,4073973768,4246.476692071337,496666.0,1833715850,3692.050291342673,988353.6,4876167220,4933.6262042248845,544171.0,2493693990,4582.555832633492
2021-03,8076544.0,35220387300,4360.824048008653,1205482.0,4634275402,3844.3339693168377,602776.0,2315579090,3841.525027539252,1121524.0,4799955020,4279.8504713229495,528553.0,1994536780,3773.579527502445
2021-04,7029457.0,26378613030,3752.581889326587,1163728.4,3693836410,3174.139610238953,366270.6,1172913900,3202.315173535632,979397.0,3399004320,3470.5071794175396,524546.0,1529832300,2916.4883537382802
2021-05,8101083.4,16244390960,2005.2121621164893,1138603.2000000002,2357520630,2070.537505954664,494350.0,859273100,1738.1877212501265,1139371.0,2102849930,1845.6235326333565,648341.0,1234775400,1904.5153707693944
2021-06,7687400.4,6819742620,887.1324849945372,1146828.1,1083677740,944.9347639807569,489174.0,465965750,952.5562478790778,1014942.0,829499370,817.2874607613046,622935.0,641749350,1030.202749885622
2021-07,6454223.0,4956262050,767.9099482617814,1350836.7,1075480470,796.1587584939024,468621.0,344759600,735.6896084469113,1003630.0,694805110,692.292089714337,546607.0,487164400,891.2516671026899
