year,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가,전국 평균단가
2020,102133347.2,150633572610,1474.8715942406711,18067182.0,24281553381,1343.9590845434557,6257380.1,7872649220,1258.138245429585,16625081.7,24713597850,1486.5248962956978,9708200.0,13295753030,1369.5384345192724,1445.0906799397878
2021,90124759.10000001,193266147511,2144.4290053142563,14958222.299999999,28779727380,1924.0071983687528,6403804.5,11806980030,1843.7446099424178,12702447.6,27112333590,2134.418062074903,7562437.0,14952178720,1977.1640702593622,2094.222913333004
2022,106258825.89999999,149766067380,1409.4459082480791,18267256.19,25883720650,1416.9462770314385,7054506.14,9394505350,1331.7027675023046,15470054.5,22507992885,1454.9394693470538,9740894.6,14914610540,1531.1335511216805,1418.8705627445488
2023,67694325.5,99941829970,1476.3693888936082,10093977.2,16845577630,1668.8741510135371,4521141.7,6074726700,1343.6266994241741,9964547.0,15550147360,1560.5473445004575,6390682.0,10244610710,1603.0543704099186,1506.6881310935348
