Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역,작물명
2021-12-01,395981.0,1159445200,2928.032405595218,-1325.4790172759738,대구,오이
2022-01-01,543760.0,1797218000,3305.167721053406,-1468.482736552079,대구,오이
2022-02-01,667957.0,1812310300,2713.214024256052,-876.5290397547253,대구,오이
2022-03-01,1124290.0,3080216600,2739.6993658219853,-903.0143813206583,대구,오이
2022-04-01,1721450.0,2860064600,1661.4276336809085,175.25735082041842,대구,오이
2022-05-01,2618580.0,3049857000,1164.69880622322,671.986178278107,대구,오이
2022-06-01,2181380.0,3248548500,1489.2171469436778,347.4678375576491,대구,오이
2022-07-01,1840156.0,4914988700,2670.963059653638,-834.2780751523112,대구,오이
2022-08-01,1999287.0,3982367200,1991.8937101076533,-155.20872560632642,대구,오이
2022-09-01,1812400.0,2473108900,1364.5491613330391,472.1358231682877,대구,오이
2022-10-01,1549407.0,2126171600,1372.2486086612491,464.43637584007774,대구,오이
2022-11-01,1013982.0,1284172700,1266.4649865579468,570.2199979433801,대구,오이
2022-12-01,612574.5,1853160350,3025.1999552707466,-1188.5149707694195,대구,오이
2023-01-01,440599.3,2032086240,4612.095933879151,-2691.034202125774,대구,오이
2023-02-01,436509.0,1995740900,4572.049831733138,-2650.9880999797606,대구,오이
2023-03-01,1001660.0,3161332500,3156.093384980932,-1235.0316532275551,대구,오이
2023-04-01,1497508.0,3021924400,2017.968785475604,-96.90705372222668,대구,오이
2023-05-01,2287530.0,3083761400,1348.0747356318825,572.9869961214945,대구,오이
2023-06-01,2656008.0,3233615300,1217.471972975985,703.589758777392,대구,오이
2023-07-01,1989268.0,3405507100,1711.939819069125,209.12191268425204,대구,오이
2023-08-01,815690.0,1437406500,1762.197035638539,158.8646961148379,대구,오이
2020-01-01,0.0,0,0.0,-1493.6633927184791,대전,오이
2020-02-01,0.0,0,0.0,-1087.4193076120962,대전,오이
2020-03-01,1520.0,2064200,1358.0263157894738,-475.7711477574185,대전,오이
2020-04-01,975.0,812500,833.3333333333334,207.8382091462832,대전,오이
