year,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가,전국 평균단가
2020,6070016.499999999,39069751575,6436.514888386218,1815446.4999999998,10765090387,5929.720532662352,2177778.71,15031529510,6902.229983688288,1347870.2,7661635628,5684.253296793712,1205680.5899999999,10362840850,8595.013418935443,6569.882793110849
2021,7527764.35,49974377751,6638.674568897737,1759997.1999999997,10636383763,6043.409479855992,2100209.0,14943386047,7115.1899868060755,1095786.3,7811322209,7128.508732952766,1116020.3,10148755820,9093.701808112271,6876.158672202949
2022,7509742.919999998,56948621542,7583.298409634509,1799299.1,12400078786,6891.616177654954,1947622.2000000002,15923964590,8176.105504445369,987740.1,8648772272,8756.121445307323,1165839.77,11556349836,9912.468362612128,7865.463620058538
2023,5359590.5,39844278424,7434.202001813384,1177795.7,8103620125,6880.327483790271,1297204.92,10434942370,8044.174215743801,623707.9,5299034922,8496.020207536252,791317.81,7760347215,9806.865354136286,7723.803522788738
