year,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가,전국 평균단가
2020,28643863.0,23410318366,817.2891472773766,14674616.399999999,12034439360,820.0854476850244,35959296.2,28489421650,792.2686109190312,40277201.5,34538198720,857.5123750839541,8349609.0,6495632730,777.9565162871698,820.6743325366971
2021,35038498.8,28286384615,807.2944213865693,10983886.0,9289969200,845.7816477701972,31075443.800000004,26676852760,858.4544417672965,39113825.5,32464919992,830.0113726283306,11895149.0,9602812040,807.2880835708742,829.9398317199908
2022,29486508.7,20710385185,702.3681710069663,13677987.6,12150281500,888.3091471730827,43079801.8,32334159800,750.5642655951124,37665097.0,31121738576,826.2752801618963,12633129.700000001,8802605004,696.7873530183102,769.8639688915435
2023,19939413.2,22819660100,1144.4499329599128,7341655.8,7523010890,1024.7022054616073,26685362.9,27462259900,1029.113225962537,21958250.0,24399853320,1111.192983047374,9875231.5,9598267980,971.9537187558591,1069.966723183196
