Date,서울 총거래물량,서울 총거래금액,서울 평균거래금액,부산 총거래물량,부산 총거래금액,부산 평균거래금액,대구 총거래물량,대구 총거래금액,대구 평균거래금액,대전 총거래물량,대전 총거래금액,대전 평균거래금액,광주 총거래물량,광주 총거래금액,광주 평균거래금액
2020-01,196129.0,166768400,850.2995477466361,1242260.0,996253350,801.968468758553,2276705.7,1806728300,793.5712990923683,2946856.0,2380499400,807.8098828039103,148872.0,115049300,772.8068407759686
2020-02,161702.0,172359880,1065.910625718915,1262447.0,1200651900,951.0513312638075,2582537.8,2550122300,987.4481992093205,2820738.0,2802490210,993.5308454737732,40260.0,31587000,784.575260804769
2020-03,174813.0,207078050,1184.5689393809384,1199742.8,1052491300,877.2641102743021,2244144.0,1920156900,855.6299863110389,2691912.0,2660264800,988.2435978590682,504657.0,402889550,798.3433302223094
2020-04,10802310.0,9554894100,884.5232269764523,356549.0,263060050,737.7949454352697,1166191.4,916842350,786.1851407924978,4174226.0,3602379110,863.005287686867,1195291.0,932517480,780.1593754156937
2020-05,12249069.0,8503744300,694.2359700969927,803859.0,467878100,582.0400095041543,996047.7,550908400,553.0943949772687,4766306.0,3248563300,681.5683466399346,1391894.0,893240450,641.7445940567313
2020-06,781199.0,455898080,583.587639001074,2153064.0,1091602000,506.99932747006125,7498033.7,3625737800,483.5584828059655,4356519.0,2261576300,519.124626794925,1487141.0,725128050,487.5987213048393
2020-07,793879.0,539105400,679.0775420435608,1379506.2,859871630,623.3184236504338,3718600.2,2184632300,587.4878132906033,2959013.0,1816877600,614.0147407260462,598335.0,361075100,603.4664527396859
2020-08,718992.0,694468576,965.891937601531,1244951.4,1006470210,808.4413656629488,3346878.8,2618695900,782.4292591652857,2911063.0,2466167500,847.1707757612941,489549.0,399715600,816.4976335361731
2020-09,701246.0,726125760,1035.4793610230931,1434226.0,1294616900,902.6589254413182,3286783.9,2954752200,898.9797595150688,3411461.5,3134352000,918.7710311255162,616625.0,607546000,985.2763024528684
2020-10,725315.0,807608520,1113.4590074657217,1190929.0,1151253000,966.6848317573928,2975553.1,3006966500,1010.5571633052019,2938468.0,3081357600,1048.6272438563224,498386.0,524749900,1052.8985565405128
