Date,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가
2020-01,2456310.0,3607821150,1468.7971591533642,107400.0,166144400,1546.9683426443203,226150.0,265525200,1174.1109882821136,304360.0,377282700,1239.593573399921,202340.0,307395300,1519.2018384896708
2020-02,2385842.7,3022936400,1267.030890175618,172796.2,228710178,1323.5833774122348,359980.0,387708600,1077.0281682315683,327280.0,388819500,1188.0331825959422,193742.0,237410500,1225.3951130885405
2020-03,2494585.5,4487283750,1798.8093613147355,186442.0,271708639,1457.336002617436,97940.0,146684000,1497.6924647743517,304180.0,482487600,1586.1910710763364,187020.0,328482100,1756.400919687734
2020-04,2330990.4,4652553280,1995.955573219006,174174.0,315716030,1812.647295233502,290326.0,629634500,2168.715512906181,360280.0,581891500,1615.1090818252471,249800.0,516142100,2066.2213771016814
2020-05,2124042.6,3238980500,1524.9131538133934,217397.0,296804691,1365.2658086358138,496679.0,643276950,1295.1563283327864,270521.0,368712700,1362.9725603557579,185520.0,259104600,1396.6397153945666
2020-06,2012940.0,2951298800,1466.1633232982604,316396.0,413212547,1305.9980119849808,336850.0,458376500,1360.7733412498144,306480.0,415120800,1354.4792482380578,191350.0,293241300,1532.4865429840606
2020-07,1823076.5,2937356000,1611.2083063985522,246682.0,351831051,1426.2534396510487,240001.0,339503900,1414.5936891929616,332550.0,478334100,1438.38249887235,182630.0,306757300,1679.6654437934621
2020-08,1725381.1,2829709000,1640.0486825780113,131717.8,192596520,1462.1905315758388,213120.0,399677500,1875.3636448948948,294360.0,477275400,1621.4003261312678,148665.0,267746550,1801.0059529815358
2020-09,2145203.9,5770220150,2689.8236340144636,150553.4,301137174,2000.2017490139713,211840.0,514849800,2430.3710347432025,275320.0,545764100,1982.290062472759,123715.0,330681900,2672.932950733541
2020-10,1777623.0,3963377700,2229.5940702837443,161920.9,318624954,1967.7815155424655,343160.0,641831500,1870.3563935190582,303115.0,549304700,1812.199000379394,215130.0,455235900,2116.0967786919537
2020-11,2394588.0,2544002500,1062.39674632964,279944.30000000005,258807207,924.4953621131059,597037.0,541679500,907.2796158362045,389390.0,364205200,935.3224273864249,280079.0,303414800,1083.3186350993826
2020-12,2773214.0,2498212800,900.83664657686,262927.1,220057031,836.9507403382916,612027.0,400255050,653.9826674313388,295150.0,230518500,781.0215144841605,231001.0,181146100,784.1788563685872
2021-01,2957436.6,3572514500,1207.976698469208,239770.8,270148900,1126.6964117398784,372760.0,389668000,1045.3589440927137,227070.0,304669800,1341.7439556084028,229500.0,258619740,1126.8833986928105
2021-02,2870435.0,3271826000,1139.836296589193,227470.59999999998,240650771,1057.94230551113,518964.0,521107300,1004.1299589181523,218629.0,256132200,1171.5380850664824,176540.0,178935100,1013.5668970205053
2021-03,2942091.0,2942008750,999.9720436927341,252718.6,237317257,939.0573428311172,416880.0,357736700,858.1287180963346,270480.0,286793600,1060.3135167110322,218496.0,180964200,828.2266036906855
2021-04,2477465.0,2832228110,1143.1960128599194,263796.0,272326750,1032.3384357609668,394240.0,377617400,957.8363433441558,269337.0,348342500,1293.3332590769185,162090.0,166029400,1024.3037818495898
2021-05,2515971.0,2641961800,1050.076411850534,172213.7,174979422,1016.0598256700831,519600.0,573227000,1103.2082371054657,255720.0,299805050,1172.395784451744,206460.0,236812200,1147.0124963673352
2021-06,2574718.0,2314719200,899.0185332918013,243633.2,212292246,871.3600855712604,634360.0,626330400,987.3422031653951,244630.0,251174500,1026.7526468544331,192680.0,192427600,998.6900560514844
2021-07,2058611.0,1658093300,805.4427475613411,246160.6,207674888,843.6560846861764,313849.0,248240500,790.9552045728997,221680.0,205106100,925.2350234572357,55540.0,52755500,949.8649621894131
2021-08,2607516.0,2459445200,943.2138479687181,294089.0,299675472,1018.9958549962766,375790.0,370327700,985.4644881449746,182340.0,202791000,1112.158604804212,42200.0,47404000,1123.3175355450237
2021-09,2737219.0,3229358850,1179.7955698831552,139865.0,172988103,1236.8219568869981,443920.0,523481800,1179.2255361326365,259360.0,368835300,1422.097856261567,89250.0,115851000,1298.0504201680671
2021-10,2364763.0,2243261900,948.6201788509039,198881.0,223752104,1125.0552038656283,737528.0,711057200,964.1087524812617,236440.0,271143000,1146.7729656572492,119639.0,110394100,922.7267028310166
2021-11,2179950.0,2128300000,976.3067960274318,247381.6,218192208,882.0066164985593,487139.0,403662200,828.6386431798727,199865.0,177859400,889.8976809346309,84400.0,82229700,974.2855450236967
2021-12,1899864.0,1702425400,896.0775087058863,194269.1,170121318,875.6993160518065,445187.0,344957000,774.858654902322,205580.0,190630200,927.2798910399845,130070.0,106653000,819.9661720611978
2022-01,3150421.0,2670707100,847.7302239922855,278390.0,237206700,852.0661661697618,407755.0,300838200,737.7915660139054,277760.0,232891300,838.4623415898618,240380.0,184481800,767.4590232132457
