Date,서울 총거래물량,서울 총거래금액,서울 평균단가,서울 평균단가 편차,부산 총거래물량,부산 총거래금액,부산 평균단가,부산 평균단가 편차,대구 총거래물량,대구 총거래금액,대구 평균단가,대구 평균단가 편차,대전 총거래물량,대전 총거래금액,대전 평균단가,대전 평균단가 편차,광주 총거래물량,광주 총거래금액,광주 평균단가,광주 평균단가 편차,전국 평균단가
2020-01-01,2456310.0,3607821150,1468.7971591533642,138.5268913554628,107400.0,166144400,1546.9683426443205,-162.0577388854906,226150.0,265525200,1174.1109882821136,159.7663467472396,304360.0,377282700,1239.593573399921,-121.451009759508,202340.0,307395300,1519.2018384896708,64.55856305077782,1433.0601445142815
2020-02-01,2385842.7,3022936400,1267.030890175618,340.293160333209,172796.2,228710178,1323.5833774122348,61.327226346595126,359980.0,387708600,1077.0281682315683,256.84916679778485,327280.0,388819500,1188.0331825959422,172.35571564162228,193742.0,237410500,1225.3951130885405,358.3652884519081,1240.1251473664008
2020-03-01,2494585.5,4487283750,1798.8093613147355,-191.4853108059085,186442.0,271708639,1457.336002617436,-72.42539885860606,97940.0,146684000,1497.6924647743515,-163.81512974499833,304180.0,482487600,1586.1910710763364,-358.65009095757114,187020.0,328482100,1756.400919687734,-172.64051814728532,1748.1202687629916
2020-04-01,2330990.4,4652553280,1995.955573219006,-388.63152271017907,174174.0,315716030,1812.647295233502,-427.73669147467217,290326.0,629634500,2168.715512906181,-834.838177876828,360280.0,581891500,1615.1090818252471,-668.4705483715186,249800.0,516142100,2066.2213771016814,-482.4609755612328,1966.1720720851931
2020-05-01,2124042.6,3238980500,1524.9131538133934,82.41089669543362,217397.0,296804691,1365.2658086358138,19.644795123016138,496679.0,643276950,1295.1563283327864,38.72100669656675,270521.0,368712700,1362.972560355758,1.111113335596201,185520.0,259104600,1396.6397153945666,187.12068614588202,1459.2126747592922
2020-06-01,2012940.0,2951298800,1466.1633232982604,141.16072721056662,316396.0,413212547,1305.9980119849808,78.91259177384904,336850.0,458376500,1360.7733412498144,-26.89600622046123,306480.0,415120800,1354.4792482380578,-134.73571425389787,191350.0,293241300,1532.4865429840606,51.27385855638795,1432.1197955383286
2020-07-01,1823076.5,2937356000,1611.2083063985522,-3.884255889725182,246682.0,351831051,1426.253439651049,-41.342835892219,240001.0,339503900,1414.5936891929616,-80.71635416360846,332550.0,478334100,1438.38249887235,-281.91461506329915,182630.0,306757300,1679.665443793462,-95.90504225301333,1562.4342931945976
2020-08-01,1725381.1,2829709000,1640.0486825780113,-32.72463206918428,131717.8,192596520,1462.1905315758388,-77.27992781700891,213120.0,399677500,1875.3636448948948,-541.4863098655417,294360.0,477275400,1621.4003261312678,-403.255124251373,148665.0,267746550,1801.0059529815358,-217.24555144108717,1658.0185353279876
2020-09-01,2145203.9,5770220150,2689.823634014464,-1082.499583505637,150553.4,301137174,2000.2017490139715,-615.2911452551416,211840.0,514849800,2430.3710347432025,-1096.4936997138493,275320.0,545764100,1982.290062472759,-1275.1821220033783,123715.0,330681900,2672.932950733541,-1089.1725491930924,2567.456889541894
2020-10-01,1777623.0,3963377700,2229.5940702837443,-622.2700197749173,161920.9,318624954,1967.7815155424653,-582.8709117836354,343160.0,641831500,1870.3563935190584,-536.4790584897053,303115.0,549304700,1812.199000379394,-718.3459499617909,215130.0,455235900,2116.0967786919537,-532.3363771515051,2116.5594109910394
2020-11-01,2394588.0,2544002500,1062.39674632964,544.9273041791869,279944.30000000005,258807207,924.495362113106,460.4152416457239,597037.0,541679500,907.2796158362044,426.5977191931488,389390.0,364205200,935.3224273864248,314.43219363078015,280079.0,303414800,1083.3186350993826,500.44176644106597,1018.033548925419
2020-12-01,2773214.0,2498212800,900.83664657686,706.487403931967,262927.1,220057031,836.9507403382916,547.9598634205383,612027.0,400255050,653.9826674313388,679.8946675980144,295150.0,230518500,781.0215144841605,613.5719723615756,231001.0,181146100,784.1788563685872,799.5815451718614,845.6922905103254
2021-01-01,2957436.6,3572514500,1207.976698469208,-181.13967643071578,239770.8,270148900,1126.6964117398784,-134.0963811985589,372760.0,389668000,1045.3589440927135,-82.95534719881346,227070.0,304669800,1341.7439556084028,6.450239176569312,229500.0,258619740,1126.8833986928105,-113.870922603606,1191.0036996055221
2021-02-01,2870435.0,3271826000,1139.836296589193,-112.99927455070065,227470.6,240650771,1057.94230551113,-65.34227496981043,518964.0,521107300,1004.1299589181524,-41.72636202425235,218629.0,256132200,1171.5380850664824,119.76674084887463,176540.0,178935100,1013.5668970205052,-0.5544209313006832,1113.810662489638
2021-03-01,2942091.0,2942008750,999.972043692734,26.86497834575823,252718.6,237317257,939.0573428311172,53.542687710202244,416880.0,357736700,858.1287180963346,104.2748787975654,270480.0,286793600,1060.3135167110322,305.10703417869433,218496.0,180964200,828.2266036906855,184.78587239851902,976.6269424651451
2021-04-01,2477465.0,2832228110,1143.1960128599194,-116.35899082142714,263796.0,272326750,1032.3384357609668,-39.73840521964735,394240.0,377617400,957.8363433441558,4.567253549744237,269337.0,348342500,1293.3332590769185,109.02985601979003,162090.0,166029400,1024.3037818495898,-11.291305760385285,1120.444303893995
2021-05-01,2515971.0,2641961800,1050.076411850534,-23.239389812041736,172213.7,174979422,1016.0598256700832,-23.459795128763744,519600.0,573227000,1103.2082371054655,-140.80464021156547,255720.0,299805050,1172.395784451744,-13.678858497955389,206460.0,236812200,1147.0124963673352,-134.0000202781307,1069.9790850849329
2021-06-01,2574718.0,2314719200,899.0185332918013,127.81848874669095,243633.2,212292246,871.3600855712604,121.23994497005913,634360.0,626330400,987.3422031653952,-24.938606271495132,244630.0,251174500,1026.7526468544331,134.64358181789544,192680.0,192427600,998.6900560514844,14.322420037720121,924.6592141965704
2021-07-01,2058611.0,1658093300,805.4427475613411,221.39427447715116,246160.6,207674888,843.6560846861764,148.94394585514306,313849.0,248240500,790.9552045728997,171.44839232100037,221680.0,205106100,925.2350234572356,183.46867567996662,55540.0,52755500,949.8649621894132,63.147513899791306,819.0610657230235
2021-08-01,2607516.0,2459445200,943.213847968718,83.62317406977422,294089.0,299675472,1018.9958549962766,-26.395824454957165,375790.0,370327700,985.4644881449746,-23.06089125107451,182340.0,202791000,1112.158604804212,10.016102324356098,42200.0,47404000,1123.3175355450237,-110.30505945581922,965.0788412691841
2021-09-01,2737219.0,3229358850,1179.7955698831552,-152.95854784466292,139865.0,172988103,1236.821956886998,-244.2219263456784,443920.0,523481800,1179.2255361326363,-216.82193923873626,259360.0,368835300,1422.097856261567,-164.71678229868735,89250.0,115851000,1298.0504201680671,-285.03794407886267,1201.9016313432421
2021-10-01,2364763.0,2243261900,948.620178850904,78.21684318758821,198881.0,223752104,1125.0552038656283,-132.45517332430882,737528.0,711057200,964.1087524812616,-1.7051555873615598,236440.0,271143000,1146.7729656572492,210.6069350383632,119639.0,110394100,922.7267028310166,90.28577325818787,973.3016147920938
2021-11-01,2179950.0,2128300000,976.3067960274318,50.53022601106045,247381.6,218192208,882.0066164985593,110.59341404276017,487139.0,403662200,828.6386431798727,133.76495371402734,199865.0,177859400,889.8976809346309,159.04809284568296,84400.0,82229700,974.2855450236968,38.72693106550764,941.0729376945065
