year,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가,전국 평균단가
2020,26443797.7,42503752030,1607.324050508827,2408350.6999999997,3335350422,1384.91060375883,4025110.0,5369003000,1333.8773350293532,3762986.0,5259716800,1397.7508287301628,2390992.0,3786758450,1583.7604015404486,1543.752805688728
2021,30186039.6,30996143010,1026.8370220384923,2720249.2,2700119439,992.6000305413195,5660217.0,5447413200,962.4035968939,2791131.0,3163282650,1133.3336378693798,1706865.0,1729075540,1013.0124760892045,1022.5599275131984
2022,26336579.0,38141041300,1448.21547627731,2319841.1,3117032038,1343.6403200201944,4765843.0,6479149100,1359.4969662240237,3033622.0,4728924520,1558.8377589561258,2444950.0,3574396050,1461.950571586331,1440.5999990473213
2023,16297289.0,31944041460,1960.0831438897599,1692671.8,3042840104,1797.6551059691546,2655919.0,4965992400,1869.7830769688383,1993116.0,3979487130,1996.6159169862667,2093574.0,4092264720,1954.6788028510098,1941.7564047064773
